Date,Close,High,Low,Open,Volume
2020-01-02,1.5774999856948853,1.6174999475479126,1.5175000429153442,1.534999966621399,17814400
2020-01-03,1.4700000286102295,1.5625,1.4600000381469727,1.5525000095367432,14175600
2020-01-06,1.462499976158142,1.4774999618530273,1.399999976158142,1.4500000476837158,13579200
2020-01-07,1.3799999952316284,1.4574999809265137,1.3600000143051147,1.4424999952316284,20912000
2020-01-08,1.4299999475479126,1.462499976158142,1.3524999618530273,1.372499942779541,22517600
2020-01-09,1.3875000476837158,1.4550000429153442,1.3700000047683716,1.4550000429153442,10572000
2020-01-10,1.3574999570846558,1.399999976158142,1.3450000286102295,1.3899999856948853,11125600
2020-01-13,1.3574999570846558,1.402500033378601,1.3324999809265137,1.3574999570846558,14500800
2020-01-14,1.1775000095367432,1.25,1.1325000524520874,1.1950000524520874,50247600
2020-01-15,1.152500033378601,1.1825000047683716,1.1375000476837158,1.1649999618530273,19924400
2020-01-16,1.1549999713897705,1.1775000095367432,1.1299999952316284,1.152500033378601,17148400
2020-01-17,1.1875,1.1875,1.127500057220459,1.1449999809265137,16078000
2020-01-21,1.1475000381469727,1.1875,1.1375000476837158,1.1875,14128400
2020-01-22,1.1399999856948853,1.159999966621399,1.1150000095367432,1.1375000476837158,10510000
2020-01-23,1.1549999713897705,1.159999966621399,1.1150000095367432,1.1375000476837158,7520800
2020-01-24,1.0800000429153442,1.159999966621399,1.0625,1.159999966621399,16654400
2020-01-27,1.0700000524520874,1.087499976158142,1.0399999618530273,1.0499999523162842,8490000
2020-01-28,1.0525000095367432,1.0750000476837158,1.0449999570846558,1.0750000476837158,8579600
2020-01-29,1.0325000286102295,1.0800000429153442,1.0325000286102295,1.0549999475479126,6210400
2020-01-30,0.9825000166893005,1.0299999713897705,0.9700000286102295,1.024999976158142,12026000
2020-01-31,0.9599999785423279,0.9850000143051147,0.9574999809265137,0.9775000214576721,11566800
2020-02-03,0.987500011920929,0.9950000047683716,0.9624999761581421,0.9700000286102295,8102400
2020-02-04,1.0175000429153442,1.0625,0.9925000071525574,1.0075000524520874,14252400
2020-02-05,1.0449999570846558,1.1024999618530273,1.034999966621399,1.037500023841858,10566800
2020-02-06,1.034999966621399,1.0750000476837158,1.034999966621399,1.0499999523162842,6041200
2020-02-07,0.9524999856948853,1.0325000286102295,0.9424999952316284,1.027500033378601,10969200
2020-02-10,0.9850000143051147,1.024999976158142,0.9350000023841858,0.9624999761581421,11108000
2020-02-11,1.0049999952316284,1.059999942779541,0.987500011920929,0.9950000047683716,13660000
2020-02-12,1.0475000143051147,1.127500057220459,1.0175000429153442,1.0325000286102295,19282400
2020-02-13,1.027500033378601,1.065000057220459,1.0175000429153442,1.0299999713897705,8326800
2020-02-14,1.0049999952316284,1.0475000143051147,1.0049999952316284,1.027500033378601,6330800
2020-02-18,1.0149999856948853,1.0199999809265137,0.9900000095367432,1.002500057220459,5870400
2020-02-19,1.037500023841858,1.0674999952316284,0.9800000190734863,1.0149999856948853,10372400
2020-02-20,1.034999966621399,1.0750000476837158,1.027500033378601,1.0399999618530273,6249200
